race_id,horse_number,age,dhweight,disRoc,enterTimes,preOOF,pre2OOF,surface,weather,course,jEps,runningStyle,preLastPhase,distance,sex,popularity,odds,weight,eps,jwinper,owinper,twinper,winRun,order_of_finish
3,6,3.0,0.0,0.0208333333333334,7.0,5.0,14.0,ダ,晴,左,163,-2.875,39.1,1400,牝,8,66.4,430,32.8571428571429,0.07,0.07,0.07,0.0,8
3,7,3.0,-6.0,0.0632911392405063,3.0,8.0,9.0,ダ,晴,左,163,0.25,38.2,1400,牝,15,253.1,420,0.0,0.07,0.07,0.07,0.0,11
3,8,3.0,12.0,-0.0869565217391304,3.0,11.0,8.0,ダ,晴,左,163,-2.75,38.3,1400,牡,10,79.1,486,0.0,0.07,0.07,0.07,0.0,9
3,9,3.0,-2.0,-0.125,1.0,3.0,,ダ,晴,左,163,0.0,37.7,1400,牡,6,16.5,456,150.0,0.07,0.07,0.07,0.0,4
3,10,3.0,-4.0,-0.0666666666666667,2.0,4.0,3.0,ダ,晴,左,163,3.08333333333333,34.0,1400,牝,2,3.5,454,128.5,0.07,0.07,0.07,0.0,1
3,11,3.0,6.0,0.0,3.0,15.0,14.0,ダ,晴,左,163,0.75,40.0,1400,牡,16,412.7,476,0.0,0.07,0.07,0.07,0.0,14
3,12,3.0,2.0,-0.0454545454545455,6.0,4.0,6.0,ダ,晴,左,163,0.458333333333333,39.0,1400,牝,3,5.2,484,99.0,0.07,0.07,0.07,0.0,7
3,13,3.0,-4.0,-0.222222222222222,1.0,10.0,,ダ,晴,左,163,NaN,36.6,1400,牝,7,44.8,438,0.0,0.07,0.07,0.07,0.0,16
3,14,3.0,6.0,0.037037037037037,4.0,18.0,8.0,ダ,晴,左,163,0.125,37.8,1400,牡,11,120.6,432,57.75,0.07,0.07,0.07,0.0,12
3,15,3.0,10.0,0.0,2.0,12.0,15.0,ダ,晴,左,163,-7.25,38.9,1400,牡,14,235.5,490,0.0,0.07,0.07,0.07,0.0,13
3,16,3.0,0.0,-0.142857142857143,3.0,6.0,9.0,ダ,晴,左,163,4.5,37.3,1400,牡,9,70.4,452,0.0,0.07,0.07,0.07,0.0,5
4,1,4.0,12.0,-0.111111111111111,4.0,8.0,3.0,芝,晴,左,137,2.125,36.0,2000,牡,2,5.0,456,247.875,0.07,0.07,0.07,0.0,3
